alsa-lib               1.1.8-1                  -1.99 MiB
at-spi2-atk            2.30.0-1                 -0.21 MiB
at-spi2-core           2.30.0-2                 -1.90 MiB
atk                    2.30.0-1                 -3.24 MiB
cairo                  1.16.0-1                 -3.46 MiB
desktop-file-utils     0.23+4+g92af410-1        -0.18 MiB
fontconfig             2:2.13.1+12+g5f5ec56-1   -2.05 MiB
fribidi                1.0.5-1                  -0.20 MiB
gdk-pixbuf2            2.38.0-1                 -3.98 MiB
gtk-update-icon-cache  3.24.4-1                 -0.04 MiB
gtk2                   2.24.32-1               -34.18 MiB
hicolor-icon-theme     0.17-1                   -0.07 MiB
jasper                 2.0.14-1                 -1.40 MiB
json-glib              1.4.4-1                  -1.60 MiB
libdatrie              0.2.12-1                 -0.06 MiB
libdrm                 2.4.96-1                 -0.95 MiB
libglvnd               1.1.0-1                  -1.66 MiB
libomxil-bellagio      0.9.3-2                  -0.57 MiB
libpciaccess           0.14-1                   -0.09 MiB
librsvg                2:2.44.12-1              -5.65 MiB
libthai                0.1.28-1                 -0.64 MiB
libunwind              1.3.1-1                  -0.27 MiB
libva                  2.3.0-1                  -0.69 MiB
libxcursor             1.1.15-1                 -0.11 MiB
libxdamage             1.1.4-3                  -0.02 MiB
libxft                 2.3.2-2                  -0.11 MiB
libxrandr              1.5.1-2                  -0.07 MiB
libxshmfence           1.3-1                    -0.04 MiB
lm_sensors             3.5.0-1                  -0.53 MiB
mesa                   18.3.2-1                -49.06 MiB
pango                  1:1.42.4-1               -3.67 MiB
pixman                 0.36.0-1                 -0.73 MiB
re2                    20190101-1               -0.46 MiB
shared-mime-info       1.10-1                   -4.83 MiB
snappy                 1.1.7-1                  -0.10 MiB
wayland                1.16.0-1                 -0.72 MiB
yasm
